Treatment,size
Before spawn,9781.91
Before spawn,37876.492
Before spawn,15893.021
Before spawn,44414.601
Before spawn,13140.496
Before spawn,14207.989
Before spawn,16157.025
Before spawn,49508.724
Before spawn,6799.816
Before spawn,36370.523
Before spawn,31503.673
Before spawn,21666.667
Before spawn,5748.393
Before spawn,5929.752
Before spawn,34499.541
Before spawn,38420.569
Before spawn,40002.296
Before spawn,28739.669
Before spawn,41742.424
Before spawn,6854.913
Before spawn,29662.534
Before spawn,42146.465
Before spawn,19375.574
Before spawn,11466.942
Before spawn,41326.905
Before spawn,18324.151
Before spawn,11976.584
Before spawn,13032.599
Before spawn,43758.035
Before spawn,33425.161
Before spawn,32224.518
Before spawn,14520.202
Before spawn,17527.548
Before spawn,6813.59
Before spawn,3021.12
Before spawn,25810.376
Before spawn,6446.281
Before spawn,46099.633
Before spawn,19217.172
Before spawn,26388.889
Before spawn,6965.106
Before spawn,27015.611
Before spawn,21099.633
Before spawn,8411.387
Before spawn,43360.882
Before spawn,15181.359
Before spawn,11914.601
Before spawn,4802.571
Before spawn,5966.483
Before spawn,24230.946
Before spawn,25757.576
Before spawn,21891.644
Before spawn,20695.592
Before spawn,12268.136
Before spawn,16177.686
Before spawn,8422.865
Before spawn,22984.389
Before spawn,11416.437
Before spawn,19104.683
Before spawn,14703.857
Before spawn,19334.252
Before spawn,53204.775
Before spawn,1460.055
Before spawn,15459.137
Before spawn,10142.332
Before spawn,7252.066
Before spawn,18677.686
Before spawn,18494.031
Before spawn,28847.567
Before spawn,28842.975
Before spawn,30293.848
Before spawn,33604.224
Before spawn,9598.255
Before spawn,21815.886
Before spawn,3608.815
Before spawn,36209.826
Before spawn,38452.709
Before spawn,1028.466
Before spawn,26354.454
Before spawn,15179.063
Before spawn,11301.653
Before spawn,18197.888
Before spawn,7757.117
Before spawn,10142.332
Before spawn,11983.471
Before spawn,5640.496
Before spawn,20801.194
Before spawn,14081.726
Before spawn,13266.758
Before spawn,36671.258
Before spawn,26375.115
Before spawn,12052.342
Before spawn,11769.972
Before spawn,32059.229
Before spawn,39582.185
Before spawn,4247.016
Before spawn,1758.494
Before spawn,38971.534
Before spawn,34625.803
Before spawn,36668.962
Before spawn,31423.324
Before spawn,10544.077
Before spawn,12500
Before spawn,4035.813
Before spawn,7750.23
Before spawn,16060.606
Before spawn,18064.738
Before spawn,31280.992
Before spawn,31859.504
Before spawn,5013.774
Before spawn,43925.62
Before spawn,14345.73
Before spawn,927.456
Before spawn,8829.201
Before spawn,6170.799
Before spawn,4439.853
Before spawn,6088.154
Before spawn,9779.614
Before spawn,5195.133
Before spawn,6196.051
Before spawn,26056.015
Before spawn,6519.743
Before spawn,1168.503
Before spawn,9641.873
Before spawn,7734.16
Before spawn,29010.56
Before spawn,32008.724
Before spawn,8011.938
Before spawn,3264.463
Before spawn,18971.534
Before spawn,7738.751
Before spawn,26347.567
Before spawn,39616.621
Before spawn,17922.406
Before spawn,33767.218
Before spawn,17300.275
Before spawn,54155.188
Before spawn,53810.836
Before spawn,21845.73
Before spawn,27233.701
Before spawn,59944.904
Before spawn,47963.728
Before spawn,46827.365
Before spawn,55537.19
Before spawn,41290.174
Before spawn,12894.858
Before spawn,4522.498
Before spawn,36262.626
Before spawn,32098.255
Before spawn,17265.84
Before spawn,9191.919
Before spawn,15828.742
Before spawn,18422.865
Before spawn,25557.851
Before spawn,6797.521
Before spawn,24334.252
Before spawn,30789.715
Before spawn,32819.1
Before spawn,21276.4
Before spawn,6905.418
Before spawn,14857.668
Before spawn,54185.032
Before spawn,38227.732
Before spawn,1974.288
Before spawn,3129.017
Before spawn,34717.631
Before spawn,19040.404
Before spawn,42610.193
Before spawn,41336.088
Before spawn,23861.341
Before spawn,7075.298
Before spawn,35723.14
Before spawn,5778.237
Before spawn,49407.713
Before spawn,7612.489
Before spawn,36352.158
Before spawn,2646.924
Before spawn,10893.021
Before spawn,14908.173
Before spawn,24882.92
Before spawn,36053.719
Before spawn,42187.787
Before spawn,34729.109
Before spawn,41831.956
Before spawn,57350.781
Before spawn,11228.191
Before spawn,59772.727
Before spawn,21485.308
Before spawn,24566.116
Before spawn,11476.125
Before spawn,56689.624
Before spawn,9003.673
Before spawn,27222.222
Before spawn,5831.038
Before spawn,5043.618
Before spawn,3349.403
Before spawn,3138.2
Before spawn,12362.259
Before spawn,49260.79
Before spawn,15153.811
Before spawn,17766.299
Before spawn,35573.921
Before spawn,14983.93
Before spawn,13227.732
Before spawn,11326.905
Before spawn,63737.374
Before spawn,9644.169
Before spawn,38764.922
Before spawn,13613.407
Before spawn,32004.132
Before spawn,14460.514
Before spawn,11421.028
Before spawn,24797.98
Before spawn,37102.847
Before spawn,6044.536
Before spawn,3544.536
Before spawn,31101.928
Before spawn,39970.156
Before spawn,25771.35
Before spawn,4196.511
Before spawn,5904.5
Before spawn,28615.702
Before spawn,49628.099
Before spawn,1958.219
Before spawn,17566.575
Before spawn,30723.14
Before spawn,45241.047
Before spawn,19485.767
Before spawn,22376.033
