sample,area (um^2),oocyte number
Before-1-2,1917571.166,49
Before-1-6,1843647.842,52
Before-1-9,2182796.143,62
Before-2-2,1520123.967,21
Before-2-4,1503381.543,35
Before-2-6,1619761.249,28
Before-3-2,1377222.222,30
Before-3-4,1325337.466,27
Before-3-6,1169306.703,28
Before-4-2,867536.731,21
Before-4-4,1194283.747,25
Before-4-6,1687821.396,32
Before-5-2,991356.749,15
Before-5-7,2061012.397,36
Before-5-9,1458684.573,35
After-1-2,1307956.841,35
After-1-5,715964.187,21
After-1-7,1376349.862,35
After-2-2,1154210.285,42
After-2-4,1096616.162,32
After-2-7,887355.372,37
After-3-2,1395821.855,26
After-3-4,1062428.834,25
After-3-6,1302419.651,17
After-4-2,752522.957,32
After-4-7,1057784.665,21
After-4-9,762550.505,38
After-5-2,1491792.929,40
After-5-4,1183018.825,38
After-5-10,1620872.36,30
